"COG20_FUNCTION_accession" "COG20_FUNCTION_function." "COG20_CATEGORY_accession" "COG20_CATEGORY_function."
"3672" "COG1474" "Cdc6-related protein, AAA superfamily ATPase (CDC6) (PDB:1FNN)" "L" "Replication, recombination and repair"
"3673" "COG3701" "Type IV secretory pathway, TrbF component (TrbF)" "U" "Intracellular trafficking, secretion, and vesicular transport"
"3674" "COG3978" "Acetolactate synthase small subunit, contains ACT domain (IlvM)" "E" "Amino acid transport and metabolism"
"3675" "COG5302" "Post-segregation antitoxin (ccd killing mechanism protein) encoded by the F plasmid (PDB:2ADL)" "X" "Mobilome: prophages, transposons"
"3676" "COG2848" "Uncharacterized conserved protein, UPF0210 family (PDB:2HA9)" "D" "Cell cycle control, cell division, chromosome partitioning"
"3677" "COG4792" "Type III secretory pathway, EscU/YscU component (EscU) (PDB:2JLH)" "U" "Intracellular trafficking, secretion, and vesicular transport"
"3678" "COG5658" "Bacterial immunity/signal transduction membrane protein SdpI,  SdpI/YbgB/DUF1648 family (SdpI) (PUBMED:20563570;31064832)" "V" "Defense mechanisms"
"3679" "COG2005" "DNA-binding transcriptional regulator ModE (molybdenum-dependent) (ModE) (PDB:1B9M) (PUBMED:19779461)" "K" "Transcription"
"3680" "COG2007" "Ribosomal protein S8E (RPS8A) (PDB:2KCO)" "J" "Translation, ribosomal structure and biogenesis"
"3681" "COG5608" "Dessication stress tolerance protein, LEA/WHy domain (LEA) (PUBMED:15598830;29802195)" "V" "Defense mechanisms"
"3682" "COG4117" "Thiosulfate reductase cytochrome b subunit (YdhU)" "P" "Inorganic ion transport and metabolism"
"3683" "COG5789" "Uncharacterized cyanobacterial/plant protein Pro1627, DUF3143 (PF11341) family (Pro1627)" "C" "Energy production and conversion"
"3684" "COG3298" "Predicted 3'-5' exonuclease related to the exonuclease domain of PolB" "L" "Replication, recombination and repair"
"3685" "COG4394" "Elongation factor P Arg32-rhamnosyltransferase EarP (EarP) (PDB:5NV8) (PUBMED:28951478;29440735)" "J" "Translation, ribosomal structure and biogenesis"
"3686" "COG4464" "Tyrosine-protein phosphatase YwqE (YwqE) (PDB:3QY6)" "T" "Signal transduction mechanisms"
"3687" "COG2213" "Phosphotransferase system, mannitol-specific IIBC component (MtlA) (PDB:1VRV)" "G" "Carbohydrate transport and metabolism"
"3688" "COG4668" "Mannitol/fructose-specific phosphotransferase system, IIA domain (MtlA2) (PDB:1A3A)" "G" "Carbohydrate transport and metabolism"
"3689" "COG4899" "Uncharacterized conserved protein, DUF2199 domain" "S" "Function unknown"
"3690" "COG3421" "Type III restriction endonuclease (ResIII)" "V" "Defense mechanisms"
"3691" "COG3846" "Type IV secretory pathway, TrbL components (TrbL)" "U" "Intracellular trafficking, secretion, and vesicular transport"
"3692" "COG3355" "Predicted transcriptional regulator (PDB:2D1H)" "K" "Transcription"
"3693" "COG4930" "Predicted ATP-dependent Lon-type protease" "O" "Posttranslational modification, protein turnover, chaperones"
"3694" "COG1601" "Translation initiation factor 2, beta subunit (eIF-2beta)/eIF-5 N-terminal domain (GCD7) (PDB:1K81)" "J" "Translation, ribosomal structure and biogenesis"
"3695" "COG2218" "Formylmethanofuran dehydrogenase subunit C (FwdC) (PDB:5T5I)" "C" "Energy production and conversion"
"3696" "COG3827" "Cell pole-organizing protein PopZ (PopZ)" "D" "Cell cycle control, cell division, chromosome partitioning"
"3697" "COG3560" "Fatty acid repression mutant protein (predicted oxidoreductase) (FMR2) (PDB:2WQF)" "R" "General function prediction only"
"3698" "COG1027" "Aspartate ammonia-lyase (AspA) (PDB:6WNG)" "E" "Amino acid transport and metabolism"
"3699" "COG4849" "Predicted nucleotidyltransferase" "R" "General function prediction only"
"3700" "COG3905" "Predicted transcriptional regulator, contains ribbon-helix-helix (RHH_1) domain (PutA1) (PDB:6IYA)" "K" "Transcription"
"3701" "COG2979" "Uncharacterized membrane protein YebE, DUF533 family (YebE)" "S" "Function unknown"
"3702" "COG1383" "Ribosomal protein S17E (RPS17A) (PDB:1RQ6)" "J" "Translation, ribosomal structure and biogenesis"
"3703" "COG3084" "Uncharacterized conserved protein YihD, DUF1040 family (YihD) (PDB:2KO6)" "S" "Function unknown"
"3704" "COG2384" "tRNA A22 N1-methylase (TrmK) (PDB:3KR9) (PUBMED:18420655)" "J" "Translation, ribosomal structure and biogenesis"
"3705" "COG5731" "Photosystem II reaction center protein T, PsbT/Ycf8 (PsbT) (PDB:1S5L) (PUBMED:17935689;17967798;20558739;25043005)" "C" "Energy production and conversion"
"3706" "COG1700" "Predicted anti-virus defense system component AQ645, contains DUF2357 and  PD-(D/E)xK nuclease domains (AQ645)" "V" "Defense mechanisms"
"3707" "COG5740" "Photosystem II biogenesis protein Psb29 (thylakoid formation protein THF1) (THF1) (PDB:5MJO) (PUBMED:28808107)" "C" "Energy production and conversion"
"3708" "COG1709" "Predicted transcriptional regulator,contains XRE-type HTH domain" "K" "Transcription"
"3709" "COG2949" "Uncharacterized periplasmic protein SanA, affects membrane permeability for vancomycin (SanA)" "M" "Cell wall/membrane/envelope biogenesis"
"3710" "COG1124" "ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component (DppF)" "E" "Amino acid transport and metabolism"
"3711" "COG5438" "Uncharacterized membrane protein" "S" "Function unknown"
"3712" "COG4256" "Hemin uptake protein HemP (HemP) (PDB:2JRA)" "H" "Coenzyme transport and metabolism"
"3713" "COG5803" "Stage 0 sporulation initiation response regulator Spo0F (Spo0F) (PUBMED:19234443;21760923)" "D" "Cell cycle control, cell division, chromosome partitioning"
"3714" "COG2231" "3-Methyladenine DNA glycosylase, HhH-GPD/Endo3 superfamily (HP0602) (PDB:1PU6) (PUBMED:14517230;20410075)" "L" "Replication, recombination and repair"
"3715" "COG3896" "Chloramphenicol 3-O-phosphotransferase (PDB:1GRQ)" "V" "Defense mechanisms"
"3716" "COG5004" "P2-like prophage tail protein X (gpX) (PDB:2LTF)" "X" "Mobilome: prophages, transposons"
"3717" "COG3499" "Phage protein U" "X" "Mobilome: prophages, transposons"
"3718" "COG3162" "Uncharacterized membrane protein, DUF485 family (YjcH)" "S" "Function unknown"
"3719" "COG2074" "2-phosphoglycerate kinase/Mevalonate-3-phosphate 5-kinase (Pgk2)" "G" "Carbohydrate transport and metabolism"
"3720" "COG3561" "Phage anti-repressor protein Ant (PUBMED:27099293)" "X" "Mobilome: prophages, transposons"
"3721" "COG3913" "Regulator of T6SS expression TagF, TagF/ImpM/SciT family (unrelated to teichoic acid polymerase TagF of B.subtilis, COG1887) (SciT) (PDB:2QNU) (PUBMED:30659530)" "T" "Signal transduction mechanisms"
"3722" "COG3646" "Phage regulatory protein Rha (pRha)" "X" "Mobilome: prophages, transposons"
"3723" "COG4021" "tRNA(His) 5'-end guanylyltransferase (Thg1) (PDB:3OTB)" "J" "Translation, ribosomal structure and biogenesis"
"3724" "COG2715" "Spore maturation protein SpmA (function unknown) (SpmA)" "R" "General function prediction only"
"3725" "COG2044" "Predicted peroxiredoxin, DsrE/DsrF-like family (PDB:3MC3)" "R" "General function prediction only"
"3726" "COG2433" "Possible nuclease of RNase H fold, RuvC/YqgF family" "R" "General function prediction only"
"3727" "COG1274" "Phosphoenolpyruvate carboxykinase, GTP-dependent (PepCK) (PDB:4R43)" "C" "Energy production and conversion"
"3728" "COG3702" "Type IV secretory pathway, VirB3 component (VirB3)" "U" "Intracellular trafficking, secretion, and vesicular transport"
"3729" "COG4549" "Uncharacterized conserved protein YcnI, contains cohesin/reeler-like domain (YcnI) (PDB:3ESM)" "S" "Function unknown"
"3730" "COG2822" "Iron uptake system EfeUOB, periplasmic (or lipoprotein) component EfeO/EfeM (EfeO) (PDB:3AT7)" "P" "Inorganic ion transport and metabolism"
"3731" "COG3102" "Uncharacterized conserved protein YecM, predicted metalloenzyme (YecM) (PDB:1K4N) (PUBMED:12660999)" "R" "General function prediction only"
"3732" "COG1697" "DNA topoisomerase VI, subunit A (Spo11) (PDB:1D3Y)" "L" "Replication, recombination and repair"
"3733" "COG2014" "Uncharacterized conserved protein, contains DUF4213 and DUF364 domains (PDB:3L5O)" "S" "Function unknown"
"3734" "COG4230" "Delta 1-pyrroline-5-carboxylate dehydrogenase (PutA2) (PDB:5KF6)" "E" "Amino acid transport and metabolism"
"3735" "COG3566" "Uncharacterized conserved protein, DUF2213 domain (PUBMED:21183074)" "S" "Function unknown"
"3736" "COG4043" "ASC-1 homology (ASCH) domain, predicted RNA-binding domain (ASCH) (PDB:1S04)" "R" "General function prediction only"
"3737" "COG1907" "Beta-ribofuranosylaminobenzene 5'-phosphate synthase (methanopterin biosynthesis) (bRFAP) (PDB:6YQQ) (PUBMED:16817932)" "H" "Coenzyme transport and metabolism"
"3738" "COG5459" "Ribosomal protein RSM22 (predicted mitochondrial rRNA methylase) (Rsm22)" "J" "Translation, ribosomal structure and biogenesis"
"3739" "COG4604" "ABC-type enterochelin transport system, ATPase component (CeuD)" "P" "Inorganic ion transport and metabolism"
"3740" "COG4275" "Chromate resistance protein ChrB1 (ChrB1)" "P" "Inorganic ion transport and metabolism"
"3741" "COG5006" "Threonine/homoserine efflux transporter RhtA (RhtA)" "E" "Amino acid transport and metabolism"
"3742" "COG1406" "Chemotaxis protein CheX, a CheY~P-specific phosphatase (CheX) (PDB:3H2D)" "N" "Cell motility"
"3743" "COG1411" "Uncharacterized conserved protein related to proFAR isomerase (HisA)" "R" "General function prediction only"
"3744" "COG4413" "Urea transporter (Utp)" "E" "Amino acid transport and metabolism"
"3745" "COG4954" "Uncharacterized conserved protein, DUF2000 domain (PDB:2GAX)" "S" "Function unknown"
"3746" "COG5479" "LGFP repeat-containing protein, may be involved in cell wall binding (Psp3) (PUBMED:18629042)" "M" "Cell wall/membrane/envelope biogenesis"
"3747" "COG5571" "Uncharacterized conserved protein YhjY, contains autotransporter beta-barrel domain (YhjY)" "R" "General function prediction only"
"3748" "COG4209" "ABC-type polysaccharide transport system, permease component (LplB) (PDB:4TQU)" "G" "Carbohydrate transport and metabolism"
"3749" "COG3976" "Uncharacterized conserved protein, contains FMN-binding domain" "R" "General function prediction only"
"3750" "COG2731" "Beta-galactosidase, beta subunit (EbgC) (PDB:1JOP)" "G" "Carbohydrate transport and metabolism"
"3751" "COG2324" "Uncharacterized membrane protein (PUBMED:15623504)" "S" "Function unknown"
"3752" "COG3066" "DNA mismatch repair protein MutH (MutH) (PDB:1AZO)" "L" "Replication, recombination and repair"
"3753" "COG2042" "Ribosome biogenesis protein Tsr3 (rRNA maturation) (Tsr3) (PDB:5AP8) (PUBMED:24417346)" "J" "Translation, ribosomal structure and biogenesis"
"3754" "COG5683" "Cytochrome b6f complex subunit VIII, PetN/Ycf6 (PetN)" "C" "Energy production and conversion"
"3755" "COG3183" "Predicted restriction endonuclease, HNH family (PDB:6GHC)" "V" "Defense mechanisms"
"3756" "COG1969" "Ni,Fe-hydrogenase I cytochrome b subunit (HyaC) (PDB:4GD3)" "C" "Energy production and conversion"
"3757" "COG2053" "Ribosomal protein S28E/S33 (RPS28A) (PDB:1NE3) (PUBMED:17307853)" "J" "Translation, ribosomal structure and biogenesis"
"3758" "COG2511" "Archaeal Glu-tRNAGln amidotransferase subunit E, contains GAD domain (GatE) (PDB:2D6F)" "J" "Translation, ribosomal structure and biogenesis"
"3759" "COG4984" "Uncharacterized membrane protein" "S" "Function unknown"
"3760" "COG3610" "Uncharacterized membrane protein YjjB, DUF3815 family (YjjB)" "S" "Function unknown"
"3761" "COG5461" "Type IV pilus biogenesis protein CpaD/CtpE (CpaD) (PUBMED:10880436)" "W" "Extracellular structures"
"3762" "COG3783" "Soluble cytochrome b562 (CybC) (PDB:1APC)" "C" "Energy production and conversion"
"3763" "COG1439" "rRNA maturation endonuclease Nob1 (Nob1) (PDB:2CON)" "J" "Translation, ribosomal structure and biogenesis"
"3764" "COG4357" "Uncharacterized conserved protein, contains Zn-finger domain of CHY type" "S" "Function unknown"
"3765" "COG1021" "EntE, 2,3-dihydroxybenzoate-AMP synthase component of non-ribosomal peptide synthetase (EntE) (PDB:3RG2)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"3766" "COG1591" "Holliday junction resolvase Hjc, archaeal type (PDB:1GEF)" "L" "Replication, recombination and repair"
"3767" "COG4877" "Uncharacterized conserved protein" "S" "Function unknown"
"3768" "COG4655" "Uncharacterized conserved protein, contains TadX/Tad_C domain (TadX) (PUBMED:26686616)" "R" "General function prediction only"
"3769" "COG4031" "Uncharacterized metal-binding protein, DUF2103 family" "S" "Function unknown"
"3770" "COG5502" "Uncharacterized conserved protein, DUF2267 family" "S" "Function unknown"
"3771" "COG5484" "Uncharacterized conserved protein YjcR, contains N-terminal HTH domain (YjcR)" "S" "Function unknown"
"3772" "COG1436" "Archaeal/vacuolar-type H+-ATPase subunit F/Vma7 (NtpF) (PDB:2D00)" "C" "Energy production and conversion"
"3773" "COG3372" "Predicted nuclease of restriction endonuclease-like (RecB) superfamily, implicated in nucleotide excision repair (PUBMED:15972856)" "R" "General function prediction only"
"3774" "COG4098" "Superfamily II DNA/RNA helicase required for DNA uptake (late competence protein) (ComFA)" "L" "Replication, recombination and repair"
"3775" "COG5788" "Cyanobacterial/chloroplast protein SipA, regulator of sensor kinase NblS (Hik33), DUF3148 (PF11347) family (SipA)" "C" "Energy production and conversion"
"3776" "COG4477" "Septation ring formation regulator EzrA (EzrA) (PDB:4UXV)" "D" "Cell cycle control, cell division, chromosome partitioning"
"3777" "COG3060" "Transcriptional regulator MetJ (met regulon) (MetJ) (PDB:1CMA)" "K" "Transcription"
"3778" "COG3886" "HKD family nuclease" "L" "Replication, recombination and repair"
"3779" "COG3077" "Antitoxin component of the RelBE or YafQ-DinJ toxin-antitoxin module (RelB) (PDB:4ML0)" "V" "Defense mechanisms"
"3780" "COG4458" "Virulence factor SrfC-related protein (SrfC) (PUBMED:31766712)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"3781" "COG3074" "Cell division protein ZapB, interacts with FtsZ (ZapB) (PDB:2JEE)" "D" "Cell cycle control, cell division, chromosome partitioning"
"3782" "COG5472" "Predicted small integral membrane protein" "S" "Function unknown"
"3783" "COG4694" "Wobble nucleotide-excising tRNase (RloC) (PUBMED:18681940)" "J" "Translation, ribosomal structure and biogenesis"
"3784" "COG3331" "Penicillin-binding protein-related factor A, putative recombinase (YotM) (PDB:1RZN)" "R" "General function prediction only"
"3785" "COG5941" "CRISPR-Cas system type I-C effector complex large subunit Cas8c (Cas8c)" "V" "Defense mechanisms"
"3786" "COG3739" "Uncharacterized membrane protein YoaT, DUF817 family (YoaT)" "S" "Function unknown"
"3787" "COG1895" "HEPN domain protein, predicted toxin of MNT-HEPN system (HEPN) (PDB:2HSB) (PUBMED:26112399)" "V" "Defense mechanisms"
"3788" "COG1900" "Sulfur incorporation enzyme MA1821 (anaerobic homocysteine biosynthesis), HcyBio/DUF39 family (HcyBio) (PUBMED:25315403)" "E" "Amino acid transport and metabolism"
"3789" "COG5083" "Phosphatidate phosphatase PAH1, contains Lipin and LNS2 domains. can be involved in plasmid maintenance (SMP2)" "I" "Lipid transport and metabolism"
"3790" "COG3647" "Uncharacterized membrane protein YjdF (YjdF)" "S" "Function unknown"
"3791" "COG4724" "Endo-beta-N-acetylglucosaminidase D" "G" "Carbohydrate transport and metabolism"
"3792" "COG5617" "Predicted membrane glycosyltransferase TK1552, contains 6-pyruvoyl-tetrahydropterin synthase (PTPS)-related domain (PTPS)" "R" "General function prediction only"
"3793" "COG3633" "Na+/serine and Na+/threonine symporter SstT (SstT)" "E" "Amino acid transport and metabolism"
"3794" "COG2973" "Trp operon repressor (TrpR) (PDB:1CO0)" "K" "Transcription"
"3795" "COG4298" "Uncharacterized conserved protein, YiaAB domain (YiaAB)" "S" "Function unknown"
"3796" "COG4845" "Chloramphenicol O-acetyltransferase (CatA) (PDB:1CIA)" "V" "Defense mechanisms"
"3797" "COG5444" "Predicted ribonuclease, toxin component of the YeeF-YezG toxin-antitoxin module (YeeF)" "V" "Defense mechanisms"
"3798" "COG5620" "Uncharacterized conserved protein, DUF1851 domain" "S" "Function unknown"
"3799" "COG4933" "Predicted transcriptional regulator, contains an HTH and PUA-like domains" "K" "Transcription"
"3800" "COG3513" "CRISPR-Cas system type-II protein Cas9 (Cas9) (PDB:4OGC)" "V" "Defense mechanisms"
"3801" "COG3082" "Uncharacterized conserved protein YejL, UPF0352 family (YejL) (PDB:2JPQ)" "S" "Function unknown"
"3802" "COG4866" "Uncharacterized protein, contains DUF2156 domain (PDB:2HQY)" "S" "Function unknown"
"3803" "COG2406" "Ferritin-like DNA-binding protein, DPS (DNA Protection under Starvation) family (DPS) (PDB:2CLB) (PUBMED:28800583)" "L" "Replication, recombination and repair"
"3804" "COG4712" "Predicted ssDNA annealing protein, contains HHH motif, Rad42/Rad22/RecT/erf family (DdrA)" "L" "Replication, recombination and repair"
"3805" "COG4716" "Myosin-crossreactive antigen  (function unknown) (PDB:4IA5)" "S" "Function unknown"
"3806" "COG1097" "Exosome complex RNA-binding protein Rrp4, contains S1 and KH domains (Rrp4) (PDB:2Z0S) (PUBMED:12496312)" "U" "Intracellular trafficking, secretion, and vesicular transport"
"3807" "COG3360" "Flavin-binding protein dodecin (PDB:1MOG) (PUBMED:12679016)" "R" "General function prediction only"
"3808" "COG3048" "D-serine dehydratase (DsdA) (PDB:3R0Z)" "E" "Amino acid transport and metabolism"
